genesymbol,cell_type,organ,organism
CDH5,Endothelial cells,Vasculature,human
PLEC,Endothelial cells,Vasculature,human
PLEC,Keratinocytes,Skin,human
TGFBR2,Endothelial cells,Vasculature,human
CD93,Plasma cells,Immune system,human
CD93,Endothelial cells,Vasculature,human
P0CW02,Endothelial cells,Vasculature,mouse
P0CW02,Monocytes,Immune system,mouse
P0CW02,Macrophages,Immune system,mouse
RGS5,Pericytes,Vasculature,human
RGS5,Pancreatic stellate cells,Pancreas,human
RGS5,Loop of Henle cells,Kidney,human
RGS5,Endothelial cells,Vasculature,human
RGS5,Smooth muscle cells,Smooth muscle,human
SLC7A5,Endothelial cells,Vasculature,human
SLC7A5,Mast cells,Immune system,human
ENG,Endothelial cells,Vasculature,human
ENG,Erythroblasts,Blood,human
KDR,Endothelial cells,Vasculature,human
SLC2A1,Endothelial cells,Vasculature,human
SLC2A1,Osteoclasts,Bone,human
EGFL7,Endothelial cells,Vasculature,human
EGFL7,Osteoclasts,Bone,human
FLT1,Endothelial cells,Vasculature,human
EPAS1,Glomus cells,,human
EPAS1,Pancreatic progenitor cells,Pancreas,human
EPAS1,Endothelial cells,Vasculature,human
EDNRB,Endothelial cells,Vasculature,human
EDNRB,Satellite glial cells,Brain,human
KCNJ8,Glomus cells,,human
KCNJ8,Pericytes,Vasculature,human
KCNJ8,Endothelial cells,Vasculature,human
CD82,Schwann cells,Brain,human
CD82,Endothelial cells,Vasculature,human
CHST1,Endothelial cells,Vasculature,human
CHST1,Mast cells,Immune system,human
CD34,Hematopoietic stem cells,Bone,human
CD34,Endothelial cells,Vasculature,human
PROX1,Endothelial cells,Vasculature,human
PROX1,Taste receptor cells,,human
PROX1,Immature neurons,Brain,human
PROX1,Hepatocytes,Liver,human
PROX1,Megakaryocytes,Immune system,human
EHD3,Endothelial cells (aorta),Vasculature,human
EHD3,Endothelial cells,Vasculature,human
SRGN,Platelets,Blood,human
SRGN,Endothelial cells,Vasculature,human
CLIC4,Endothelial cells,Vasculature,human
P05533,Endothelial cells,Vasculature,mouse
USHBP1,Endothelial cells,Vasculature,human
MYF6,Myoblasts,Skeletal muscle,human
MYF6,Endothelial cells,Vasculature,human
OIT3,Endothelial cells,Vasculature,human
IL1A,Platelets,Blood,human
IL1A,Endothelial cells,Vasculature,human
C1QTNF1,Endothelial cells,Vasculature,human
PCDH12,Endothelial cells,Vasculature,human
PALMD,Endothelial cells,Vasculature,human
BMX,Endothelial cells (aorta),Vasculature,human
BMX,Endothelial cells,Vasculature,human
SPARC,Platelets,Blood,human
SPARC,Endothelial cells,Vasculature,human
SPARC,Fibroblasts,Connective tissue,human
SPARC,Hepatic stellate cells,Liver,human
SPARC,Pancreatic stellate cells,Pancreas,human
MGLL,Endothelial cells,Vasculature,human
SLC9A3R2,Endothelial cells,Vasculature,human
RGCC,Endothelial cells,Vasculature,human
RGCC,Tanycytes,Brain,human
ICAM2,Endothelial cells,Vasculature,human
SPARCL1,Endothelial cells,Vasculature,human
TM4SF1,Ependymal cells,Brain,human
TM4SF1,Endothelial cells,Vasculature,human
ADIRF,Endothelial cells,Vasculature,human
SRPX,Endothelial cells,Vasculature,human
ID3,Endothelial cells,Vasculature,human
CAV1,Satellite cells,Skeletal muscle,human
CAV1,Endothelial cells,Vasculature,human
GNG11,Endothelial cells,Vasculature,human
GNG11,Platelets,Blood,human
HSPG2,Endothelial cells,Vasculature,human
CCL14,Endothelial cells,Vasculature,human
CLEC1B,Kupffer cells,Liver,human
CLEC1B,Platelets,Blood,human
CLEC1B,Endothelial cells,Vasculature,human
FCN2,Endothelial cells,Vasculature,human
S100A13,Endothelial cells,Vasculature,human
FCN3,Endothelial cells,Vasculature,human
CRHBP,Endothelial cells,Vasculature,human
IFI27,Endothelial cells,Vasculature,human
CCL23,Endothelial cells,Vasculature,human
SGK1,Endothelial cells,Vasculature,human
PCAT19,Endothelial cells,Vasculature,human
CDKN1C,Podocytes,Kidney,human
CDKN1C,Endothelial cells,Vasculature,human
CDKN1C,Loop of Henle cells,Kidney,human
INMT,Fibroblasts,Connective tissue,human
INMT,Pulmonary alveolar type II cells,Lungs,human
INMT,Endothelial cells,Vasculature,human
PTGDS,Leydig cells,Reproductive,human
PTGDS,Gamma delta T cells,Immune system,human
PTGDS,Meningeal cells,Brain,human
PTGDS,Satellite glial cells,Brain,human
PTGDS,Endothelial cells,Vasculature,human
PTGDS,Oligodendrocytes,Brain,human
PTGDS,Melanocytes,Skin,human
TIMP3,Pancreatic stellate cells,Pancreas,human
TIMP3,Endothelial cells,Vasculature,human
GPM6A,Mast cells,Immune system,human
GPM6A,Endothelial cells,Vasculature,human
FAM167B,Endothelial cells,Vasculature,human
STAB2,Endothelial cells,Vasculature,human
ITGA5,Osteoblasts,Bone,human
FOXC2,Podocytes,Kidney,human
DHH,Sertoli cells,Reproductive,human
FGD5,Hematopoietic stem cells,Bone,human
FAS,Osteoblasts,Bone,human
FAS,Smooth muscle cells,Smooth muscle,human
NKX2-3,Hematopoietic stem cells,Bone,human
SYNPO,Podocytes,Kidney,human
ATP2A3,Platelets,Blood,human
CMKLR1,Monocytes,Immune system,human
ITGA9,Smooth muscle cells,Smooth muscle,human
EFNB2,Osteocytes,Bone,human
EFNB2,Osteoblasts,Bone,human
EFNB2,Osteoclasts,Bone,human
GSTT1,Müller cells,Eye,mouse
LAMB2,Smooth muscle cells,Smooth muscle,human
LAMB2,Podocytes,Kidney,human
GASK1B,Mast cells,Immune system,human
TNS2,Podocytes,Kidney,human
ATL2,Mast cells,Immune system,human
ACKR3,Smooth muscle cells,Smooth muscle,human
ACKR3,Platelets,Blood,human
COL4A4,Pulmonary alveolar type I cells,Lungs,human
COL4A4,Podocytes,Kidney,human
P28651,Purkinje neurons,Brain,mouse
COL4A3,Podocytes,Kidney,human
COL4A3,Pulmonary alveolar type I cells,Lungs,human
EPHX2,Enterocytes,GI tract,human
P79568,Pulmonary alveolar type II cells,Lungs,mouse
SULF1,Podocytes,Kidney,human
PI16,Fibroblasts,Connective tissue,human
PDE3A,Mesangial cells,Kidney,human
SMOC1,Smooth muscle cells,Smooth muscle,human
SOD3,Proximal tubule cells,Kidney,human
SOD3,Smooth muscle cells,Smooth muscle,human
ACE,Monocytes,Immune system,human
ACE,Hematopoietic stem cells,Bone,human
SLC38A3,Müller cells,Eye,human
FOXL2,Granulosa cells,Reproductive,human
PPARD,Melanocytes,Skin,human
ALCAM,Enteroendocrine cells,GI tract,human
GFRA3,Enteric glia cells,GI tract,human
GFRA3,Schwann cells,Brain,human
GFRA3,Peri-islet Schwann cells,Pancreas,human
GFRA3,Enteroendocrine cells,GI tract,human
MPZ,Schwann cells,Brain,human
CXCL14,Fibroblasts,Connective tissue,human
CXCL14,Interneurons,Brain,human
CXCL14,Platelets,Blood,human
DKK3,Müller cells,Eye,human
DKK3,Fibroblasts,Connective tissue,human
SOX10,Oligodendrocyte progenitor cells,Brain,human
SOX10,Enteric glia cells,GI tract,human
SOX10,Oligodendrocytes,Brain,human
SOX10,Schwann cells,Brain,human
NOS2,Hepatocytes,Liver,human
NOS2,Enteric glia cells,GI tract,human
TSHZ1,Neuroblasts,Brain,human
DMKN,Keratinocytes,Skin,human
SCN7A,Tanycytes,Brain,human
SCN7A,Schwann cells,Brain,human
VSTM2L,Epsilon cells,Pancreas,human
CELF6,Neurons,Brain,human
GFRA2,Enterocytes,GI tract,human
GFRA2,Glomus cells,,human
FLOT2,Enterocytes,GI tract,human
SCN3A,Enteroendocrine cells,GI tract,human
CHRNA3,Pinealocytes,Brain,human
PHOX2B,Glomus cells,,human
CARTPT,Enteric neurons,GI tract,human
CARTPT,Gamma (PP) cells,Pancreas,human
NMU,Enteric neurons,GI tract,human
VIP,GABAergic neurons,Brain,human
VIP,Enteric neurons,GI tract,human
VIP,Interneurons,Brain,human
CCK,Taste receptor cells,,human
CCK,Pyramidal cells,Brain,human
CCK,Neuroendocrine cells,Brain,human
CCK,Interneurons,Brain,human
CCK,Enteroendocrine cells,GI tract,human
CCK,Enteric neurons,GI tract,human
REG4,Enterochromaffin cells,GI tract,human
AFP,Enterochromaffin cells,GI tract,human
AFP,Hepatocytes,Liver,human
AFP,Hepatoblasts,Liver,human
AFP,Enteroendocrine cells,GI tract,human
TRPA1,Enterochromaffin cells,GI tract,human
TRPA1,Enteroendocrine cells,GI tract,human
FGF1,Enterochromaffin cells,GI tract,human
PIEZO2,Enterochromaffin cells,GI tract,human
PIEZO2,Trigeminal neurons,Brain,human
PIEZO2,Merkel cells,Skin,human
ADGRG4,Enterochromaffin cells,GI tract,human
TPH1,Enterochromaffin cells,GI tract,human
TPH1,Mast cells,Immune system,human
TPH1,Pinealocytes,Brain,human
CRH,Interneurons,Brain,human
CRH,Sebocytes,Skin,human
CRH,Enterochromaffin cells,GI tract,human
CRH,Mast cells,Immune system,human
LYPD8,Enterocytes,GI tract,human
NLRP6,Enterocytes,GI tract,human
MYO1A,Enterocytes,GI tract,human
MYO1A,Epsilon cells,Pancreas,human
SLC15A1,Enterocytes,GI tract,human
APOBEC1,Enterocytes,GI tract,human
SLC10A2,Enterocytes,GI tract,human
SLC40A1,Enterocytes,GI tract,human
SLC40A1,Red pulp macrophages,Immune system,human
SLC40A1,Kupffer cells,Liver,human
TTC7A,Enterocytes,GI tract,human
NPC1L1,Enterocytes,GI tract,human
FABP1,Enterocytes,GI tract,human
FABP1,Tuft cells,GI tract,human
CA1,Enterocytes,GI tract,human
CPS1,Hepatocytes,Liver,human
CPS1,Enterocytes,GI tract,human
SLC2A5,Enterocytes,GI tract,human
SLC2A5,Microglia,Brain,human
ALPI,Enterocytes,GI tract,human
FABP2,Enterocytes,GI tract,human
LCT,Enterocytes,GI tract,human
SI,Enterocytes,GI tract,human
VIL1,Enterocytes,GI tract,human
Q3UW98,Enterocytes,GI tract,mouse
FUOM,Enterocytes,GI tract,human
FAHD1,Enterocytes,GI tract,human
OTC,Enterocytes,GI tract,human
OTC,Hepatocytes,Liver,human
CDH17,Enterocytes,GI tract,human
KHK,Proximal tubule cells,Kidney,human
KHK,Enterocytes,GI tract,human
Q5G865,Paneth cells,GI tract,mouse
HNF4A,Hepatoblasts,Liver,human
HNF4A,Proximal tubule cells,Kidney,human
HNF4A,Hepatocytes,Liver,human
TMEM45B,Principal cells,Kidney,human
TM4SF5,Hepatocytes,Liver,human
TM4SF5,Epsilon cells,Pancreas,human
RNF186,Enterocytes,GI tract,human
KLF5,Enterocytes,GI tract,human
KLF5,Sebocytes,Skin,human
CLDN15,Enterocytes,GI tract,human
MUC13,Goblet cells,GI tract,human
PHGR1,Epsilon cells,Pancreas,human
PHGR1,Goblet cells,GI tract,human
PRAP1,Enterocytes,GI tract,human
CCL25,Enterocytes,GI tract,human
SPON2,Megakaryocytes,Immune system,human
SPON2,Fibroblasts,Connective tissue,human
SPON2,NK cells,Immune system,human
SPON2,Gamma delta T cells,Immune system,human
SPON2,Smooth muscle cells,Smooth muscle,human
ASPN,Fibroblasts,Connective tissue,human
PMEPA1,Pinealocytes,Brain,human
P13634,Neutrophils,Immune system,mouse
SLC11A2,Reticulocytes,Blood,human
SLC11A2,Enterocytes,GI tract,human
APOA1,Enterocytes,GI tract,human
APOA1,Hepatocytes,Liver,human
APOA4,Enterocytes,GI tract,human
CBR1,Enterocytes,GI tract,human
GSTM3,Enterocytes,GI tract,human
A1L3C0,Enterocytes,GI tract,mouse
E9Q4Y1,Enterocytes,GI tract,mouse
Q9D932,Enterocytes,GI tract,mouse
E9Q5Z6,Enterocytes,GI tract,mouse
CREB3L3,Enterocytes,GI tract,human
O35622,Enterocytes,GI tract,mouse
O35622,Epiblast cells,Embryo,mouse
Q8C1T8,Enterocytes,GI tract,mouse
FABP6,Enterocytes,GI tract,human
RBP2,Enterocytes,GI tract,human
CYP3A4,Enterocytes,GI tract,human
CYP3A4,Hepatocytes,Liver,human
APOB,Hepatocytes,Liver,human
APOB,Enterocytes,GI tract,human
APOC3,Enterocytes,GI tract,human
APOC3,Hepatocytes,Liver,human
UGT2B17,Enterocytes,GI tract,human
UGT2B17,Plasma cells,Immune system,human
ISX,Enterocytes,GI tract,human
AQP10,Enterocytes,GI tract,human
S100G,Enterocytes,GI tract,human
S100G,Pulmonary alveolar type II cells,Lungs,human
BEST4,Enterocytes,GI tract,human
SLC28A1,Enterocytes,GI tract,human
SLC28A2,Enterocytes,GI tract,human
SLC30A10,Enterocytes,GI tract,human
SLC51B,Enterocytes,GI tract,human
VNN1,Enterocytes,GI tract,human
SLC23A1,Enterocytes,GI tract,human
TREH,Enterocytes,GI tract,human
ABCC2,Enterocytes,GI tract,human
ABCC2,Proximal tubule cells,Kidney,human
ABCG5,Enterocytes,GI tract,human
CYP3A7,Hepatocytes,Liver,human
CYP3A7,Enterocytes,GI tract,human
ABCG8,Sertoli cells,Reproductive,human
ABCG8,Enterocytes,GI tract,human
PLIN2,Enterocytes,GI tract,human
CYBRD1,Enterocytes,GI tract,human
NR1H4,Enterocytes,GI tract,human
DAB1,Enterocytes,GI tract,human
DAB1,Pyramidal cells,Brain,human
DAB1,Neuroblasts,Brain,human
TM6SF2,Enterocytes,GI tract,human
NR5A2,Enterocytes,GI tract,human
PDZK1,Proximal tubule cells,Kidney,human
PDZK1,Enterocytes,GI tract,human
ACSL5,Enterocytes,GI tract,human
AQP11,Enterocytes,GI tract,human
AQP8,Enterocytes,GI tract,human
HMOX1,Enterocytes,GI tract,human
HMOX1,Satellite cells,Skeletal muscle,human
HMOX1,Red pulp macrophages,Immune system,human
SLC39A5,Enterocytes,GI tract,human
SLC51A,Enterocytes,GI tract,human
MOGAT2,Enterocytes,GI tract,human
MAOA,Enterocytes,GI tract,human
DGAT1,Enterocytes,GI tract,human
DGAT2,Enterocytes,GI tract,human
NPSR1,Enteroendocrine cells,GI tract,human
FFAR3,Sebocytes,Skin,human
FFAR3,Enteroendocrine cells,GI tract,human
FFAR3,Tuft cells,GI tract,human
NEUROG3,Pancreatic progenitor cells,Pancreas,human
NEUROG3,Enteroendocrine cells,GI tract,human
FFAR1,Enteroendocrine cells,GI tract,human
FFAR1,Mammary epithelial cells,Mammary gland,human
SCT,Enteroendocrine cells,GI tract,human
VWA5B2,Enteroendocrine cells,GI tract,human
FABP5,Enteroendocrine cells,GI tract,human
FABP5,Microfold cells,GI tract,human
RIMBP2,Enteroendocrine cells,GI tract,human
GIP,Enteroendocrine cells,GI tract,human
GLP2R,Enteroendocrine cells,GI tract,human
GAST,Enteroendocrine cells,GI tract,human
NTS,Enteroendocrine cells,GI tract,human
MLN,Enteroendocrine cells,GI tract,human
CHGB,Enteroendocrine cells,GI tract,human
CPE,Enteroendocrine cells,GI tract,human
GHRL,Enteroendocrine cells,GI tract,human
GHRL,Epsilon cells,Pancreas,human
ENPP2,Enteroendocrine cells,GI tract,human
ENPP2,Oligodendrocytes,Brain,human
MC4R,Enteroendocrine cells,GI tract,human
INSL5,Enteroendocrine cells,GI tract,human
TAS1R2,Taste receptor cells,,human
TAS1R2,Enteroendocrine cells,GI tract,human
TAS1R3,Taste receptor cells,,human
TAS1R3,Enteroendocrine cells,GI tract,human
TAS1R3,Tuft cells,GI tract,human
TAS1R3,Osteoclasts,Bone,human
GNAT3,Taste receptor cells,,human
GNAT3,Enteroendocrine cells,GI tract,human
GNAT3,Tuft cells,GI tract,human
C3AR1,Macrophages,Immune system,human
C3AR1,Eosinophils,Immune system,human
C5AR1,Osteoblasts,Bone,human
C5AR1,Eosinophils,Immune system,human
C5AR1,Macrophages,Immune system,human
C5AR1,Microglia,Brain,human
C5AR1,Neutrophils,Immune system,human
CCR1,Platelets,Blood,human
CCR1,Eosinophils,Immune system,human
CCR1,Neutrophils,Immune system,human
CD244,NK cells,Immune system,human
CD244,Eosinophils,Immune system,human
PTGDR2,T helper cells,Immune system,human
PTGDR2,Eosinophils,Immune system,human
SIGLEC8,Eosinophils,Immune system,human
SIGLEC10,Eosinophils,Immune system,human
PGLYRP1,Eosinophils,Immune system,human
PGLYRP1,Microfold cells,GI tract,human
EPX,Eosinophils,Immune system,human
RNASE3,Eosinophils,Immune system,human
RNASE2,Eosinophils,Immune system,human
IL5,Eosinophils,Immune system,human
IL5,T helper cells,Immune system,human
IL5,Nuocytes,Immune system,human
PRG2,Eosinophils,Immune system,human
PRG3,Eosinophils,Immune system,human
IKZF2,T regulatory cells,Immune system,human
CCL5,Gamma delta T cells,Immune system,human
CCL5,T cells,Immune system,human
CCL5,Eosinophils,Immune system,human
CCL5,Platelets,Blood,human
CCL5,NK cells,Immune system,human
CCL5,Macrophages,Immune system,human
CSF2,Eosinophils,Immune system,human
CSF2,Paneth cells,GI tract,human
CSF2,NK cells,Immune system,human
IL5RA,Eosinophils,Immune system,human
TRIM71,Ependymal cells,Brain,human
USP18,Ependymal cells,Brain,human
CELSR2,Ependymal cells,Brain,human
ENKUR,Ependymal cells,Brain,human
CROCC,Ependymal cells,Brain,human
MEIG1,Sertoli cells,Reproductive,human
CALML4,Ependymal cells,Brain,human
PCP4L1,Ependymal cells,Brain,human
PCP4L1,Mast cells,Immune system,human
PCP4L1,Smooth muscle cells,Smooth muscle,human
RIIAD1,Ependymal cells,Brain,human
RIIAD1,Radial glia cells,Brain,human
AK7,Ependymal cells,Brain,human
STOML3,Ependymal cells,Brain,human
PLTP,Ependymal cells,Brain,human
PLTP,Macrophages,Immune system,human
PLTP,Kupffer cells,Liver,human
SSPOP,Ependymal cells,Brain,human
EFNB3,Oligodendrocytes,Brain,human
EFNB3,Ependymal cells,Brain,human
MYB,T cells,Immune system,human
MYB,Ependymal cells,Brain,human
RFX2,Ependymal cells,Brain,human
ZMYND10,Ependymal cells,Brain,human
AK8,Ependymal cells,Brain,human
CFAP44,Ependymal cells,Brain,human
ERAS,Epiblast cells,Embryo,human
CLDN6,Epiblast cells,Embryo,human
CLDN7,Epiblast cells,Embryo,human
SLC35D3,Epiblast cells,Embryo,human
CXCL12,Epiblast cells,Embryo,human
CXCL12,Sertoli cells,Reproductive,human
CXCL12,Osteoblasts,Bone,human
SOX11,Epiblast cells,Embryo,human
CRMP1,Epiblast cells,Embryo,human
DPYSL5,Epiblast cells,Embryo,human
INA,Epiblast cells,Embryo,human
MFAP2,Epiblast cells,Embryo,human
IL1R1,T regulatory cells,Immune system,human
IL1R1,Glomus cells,,human
KRT1,Keratinocytes,Skin,human
KLK3,Neuroblasts,Brain,human
KLK3,Luminal epithelial cells,Mammary gland,human
KRT3,Epithelial cells,Epithelium,human
ITGA1,Smooth muscle cells,Smooth muscle,human
SCNN1B,Principal cells,Kidney,human
SCNN1B,Pulmonary alveolar type I cells,Lungs,human
SCNN1G,Principal cells,Kidney,human
SCNN1G,Pulmonary alveolar type I cells,Lungs,human
EXO1,Sebocytes,Skin,human
FOXA1,Hepatocytes,Liver,human
SFN,Keratinocytes,Skin,human
KRT13,Epithelial cells,Epithelium,human
SPRR1B,Keratinocytes,Skin,human
TM4SF20,Paneth cells,GI tract,human
TSPAN1,Principal cells,Kidney,human
GUCA2A,Goblet cells,GI tract,human
GUCA2A,Paneth cells,GI tract,human
DLX5,Interneurons,Brain,human
ITPR2,Oligodendrocytes,Brain,human
MECOM,Hematopoietic stem cells,Bone,human
MSX1,Pericytes,Vasculature,human
RNF128,Mast cells,Immune system,human
ANLN,Oligodendrocytes,Brain,human
CXCL10,Monocytes,Immune system,human
CCL20,Microfold cells,GI tract,human
CCL20,T cells,Immune system,human
F5,Platelets,Blood,human
SPTSSB,Epsilon cells,Pancreas,human
IVL,Urothelial cells,Urinary bladder,human
IVL,Keratinocytes,Skin,human
AQP3,Principal cells,Kidney,human
AQP3,Hepatocytes,Liver,human
AQP3,Keratinocytes,Skin,human
AQP3,Luminal epithelial cells,Mammary gland,human
AQP3,Pulmonary alveolar type I cells,Lungs,human
AQP3,Gamma (PP) cells,Pancreas,human
OCLN,Sertoli cells,Reproductive,human
OCLN,Epithelial cells,Epithelium,human
ANXA13,Epsilon cells,Pancreas,human
HMGCS2,Epsilon cells,Pancreas,human
OLFML3,Epsilon cells,Pancreas,human
OLFML3,Microglia,Brain,human
OLFML3,Hepatic stellate cells,Liver,human
ASGR1,Epsilon cells,Pancreas,human
ASGR1,Hepatocytes,Liver,human
COX6A2,Epsilon cells,Pancreas,human
NPY1R,Epsilon cells,Pancreas,human
FAXDC2,Epsilon cells,Pancreas,human
SLC7A9,Epsilon cells,Pancreas,human
GRAMD2A,Epsilon cells,Pancreas,mouse
GRAMD2A,Pulmonary alveolar type I cells,Lungs,mouse
C2orf54,Epsilon cells,Pancreas,human
GHRLOS,Epsilon cells,Pancreas,human
BHMT,Epsilon cells,Pancreas,human
OPRK1,Epsilon cells,Pancreas,human
PTGER4,Epsilon cells,Pancreas,human
EYA4,Epsilon cells,Pancreas,human
XYLB,Epsilon cells,Pancreas,human
ELOVL2,Epsilon cells,Pancreas,human
AFF3,Epsilon cells,Pancreas,human
CORIN,Epsilon cells,Pancreas,human
HRH2,Epsilon cells,Pancreas,human
CALCR,Satellite cells,Skeletal muscle,human
CALCR,Epsilon cells,Pancreas,human
SLC6A16,Epsilon cells,Pancreas,human
PCSK6,Epsilon cells,Pancreas,human
PCSK6,Fibroblasts,Connective tissue,human
ADAMTS6,Epsilon cells,Pancreas,human
COL22A1,Epsilon cells,Pancreas,human
FAM124A,Epsilon cells,Pancreas,human
COL12A1,Epsilon cells,Pancreas,human
COL12A1,Fibroblasts,Connective tissue,human
COL12A1,Osteoblasts,Bone,human
CD109,Platelets,Blood,human
CD109,Epsilon cells,Pancreas,human
THSD4,Epsilon cells,Pancreas,human
Q99N10,Epsilon cells,Pancreas,mouse
VTN,Fibroblasts,Connective tissue,human
VTN,Epsilon cells,Pancreas,human
VTN,Meningeal cells,Brain,human
VTN,Pericytes,Vasculature,human
APOH,Hepatocytes,Liver,human
APOH,Epsilon cells,Pancreas,human
S100A6,Epsilon cells,Pancreas,human
S100A6,Neural stem/precursor cells,Brain,human
KRT8,Mammary epithelial cells,Mammary gland,human
KRT8,Epsilon cells,Pancreas,human
KRT8,Merkel cells,Skin,human
KRT8,Luminal epithelial cells,Mammary gland,human
KRT8,Hepatoblasts,Liver,human
CGA,Erythroblasts,Blood,human
KLF1,Erythroid-like and erythroid precursor cells,Blood,human
BPGM,Erythroblasts,Blood,human
EPOR,Satellite glial cells,Brain,human
EPOR,Erythroblasts,Blood,human
EPOR,Megakaryocytes,Immune system,human
IGBP1,Erythroblasts,Blood,human
TFR2,Erythroblasts,Blood,human
TFR2,Hepatocytes,Liver,human
GYPA,Erythroblasts,Blood,human
GYPA,Erythroid-like and erythroid precursor cells,Blood,human
LMNB1,Erythroblasts,Blood,human
LRP8,Erythroblasts,Blood,human
LRP8,Neuroblasts,Brain,human
GRSF1,Erythroblasts,Blood,human
USE1,Erythroblasts,Blood,human
CFP,Erythroblasts,Blood,human
LMO2,Erythroblasts,Blood,human
GATA1,Sertoli cells,Reproductive,human
GATA1,Megakaryocytes,Immune system,human
GATA1,Erythroblasts,Blood,human
TAL1,Hematopoietic stem cells,Bone,human
TAL1,Erythroblasts,Blood,human
KMT5A,Erythroblasts,Blood,human
PIEZO1,Urothelial cells,Urinary bladder,human
PIEZO1,Erythroblasts,Blood,human
A8DUK4,Erythroid-like and erythroid precursor cells,Blood,mouse
E9Q223,Erythroid-like and erythroid precursor cells,Blood,mouse
ALAS2,Erythroid-like and erythroid precursor cells,Blood,human
HBB,Erythroid-like and erythroid precursor cells,Blood,human
THBS1,Loop of Henle cells,Kidney,human
THBS1,Platelets,Blood,human
THBS1,Erythroid-like and erythroid precursor cells,Blood,human
GYPB,Erythroid-like and erythroid precursor cells,Blood,human
NCOA4,Platelets,Blood,human
SLC4A1,Intercalated cells,Kidney,human
FOSB,Fibroblasts,Connective tissue,human
EPB41,Erythroid-like and erythroid precursor cells,Blood,human
Q91VB8,Erythroid-like and erythroid precursor cells,Blood,mouse
KCNN4,Paneth cells,GI tract,human
KCNN4,Pyramidal cells,Brain,human
RHD,Erythroid-like and erythroid precursor cells,Blood,human
Q9Z0S4,Erythroid-like and erythroid precursor cells,Blood,mouse
TSPAN33,Erythroid-like and erythroid precursor cells,Blood,human
EPB42,Erythroid-like and erythroid precursor cells,Blood,human
CD47,Erythroid-like and erythroid precursor cells,Blood,human
O55186,Erythroid-like and erythroid precursor cells,Blood,mouse
O55186,Pulmonary alveolar type II cells,Lungs,mouse
O55186,Neurons,Brain,mouse
O55186,Tanycytes,Brain,mouse
O55186,Schwann cells,Brain,mouse
EDRF1,Erythroid-like and erythroid precursor cells,Blood,human
EPB41L2,Erythroid-like and erythroid precursor cells,Blood,human
KEL,Erythroid-like and erythroid precursor cells,Blood,human
RHAG,Erythroid-like and erythroid precursor cells,Blood,human
THRB,Erythroid-like and erythroid precursor cells,Blood,human
UROD,Erythroid-like and erythroid precursor cells,Blood,human
UROS,Erythroid-like and erythroid precursor cells,Blood,human
SNCA,Erythroid-like and erythroid precursor cells,Blood,human
PDGFRB,Pericytes,Vasculature,human
PDGFRB,Mesangial cells,Kidney,human
PDGFRB,Fibroblasts,Connective tissue,human
P4HA1,Fibroblasts,Connective tissue,human
FGR,Macrophages,Immune system,human
Q91ZE5,Kupffer cells,Liver,mouse
Q91ZE5,Macrophages,Immune system,mouse
PRKCD,Platelets,Blood,human
PRKCD,Fibroblasts,Connective tissue,human
TREML4,Red pulp macrophages,Immune system,human
TREML4,Macrophages,Immune system,human
Q9WU67,Pulmonary alveolar type II cells,Lungs,mouse
CTHRC1,Fibroblasts,Connective tissue,human
CTHRC1,Schwann cells,Brain,human
COL15A1,Stromal cells,Connective tissue,human
COL15A1,Fibroblasts,Connective tissue,human
GJB2,Microfold cells,GI tract,human
GJB2,Fibroblasts,Connective tissue,human
GJB2,Hepatocytes,Liver,human
ITIH5,Fibroblasts,Connective tissue,human
PENK,Tanycytes,Brain,human
PENK,Osteoblasts,Bone,human
MMP14,Fibroblasts,Connective tissue,human
MMP14,Mammary epithelial cells,Mammary gland,human
EFEMP1,Fibroblasts,Connective tissue,human
IGFBP3,Hepatic stellate cells,Liver,human
IGFBP3,Leydig cells,Reproductive,human
IGFBP3,Fibroblasts,Connective tissue,human
COPZ2,Mast cells,Immune system,human
DPEP1,Fibroblasts,Connective tissue,human
COL5A1,Müller cells,Eye,human
COL5A1,Fibroblasts,Connective tissue,human
CD248,Fibroblasts,Connective tissue,human
CD248,Pericytes,Vasculature,human
TNXB,Fibroblasts,Connective tissue,human
COL14A1,Fibroblasts,Connective tissue,human
CLEC3B,Microglia,Brain,human
IGFBP6,Pulmonary alveolar type I cells,Lungs,human
IGFBP6,Hepatic stellate cells,Liver,human
IGFBP6,Fibroblasts,Connective tissue,human
COL5A2,Fibroblasts,Connective tissue,human
FBN1,Fibroblasts,Connective tissue,human
MFAP5,Smooth muscle cells,Smooth muscle,human
FKBP10,Fibroblasts,Connective tissue,human
PALLD,Platelets,Blood,human
WIF1,Fibroblasts,Connective tissue,human
SNHG18,Fibroblasts,Connective tissue,human
CDH11,Fibroblasts,Connective tissue,human
FBLN2,Neurons,Brain,human
FBLN2,Fibroblasts,Connective tissue,human
IGF1,Loop of Henle cells,Kidney,human
IGF1,Fibroblasts,Connective tissue,human
IGF1,Neurons,Brain,human
IGF1,Leydig cells,Reproductive,human
PRRX1,Fibroblasts,Connective tissue,human
OAF,Mast cells,Immune system,human
COL6A3,Fibroblasts,Connective tissue,human
COL6A3,Pancreatic stellate cells,Pancreas,human
CTSK,Macrophages,Immune system,human
CTSK,Osteoclasts,Bone,human
CTSK,Fibroblasts,Connective tissue,human
C1S,Fibroblasts,Connective tissue,human
GREM1,Fibroblasts,Connective tissue,human
COL8A1,Fibroblasts,Connective tissue,human
MMP23B,Fibroblasts,Connective tissue,mouse
